Device,Screen Dims,DPH,DPW,PXH,PXW,Ratio,PPI,Type
Android One,4.5in 2.2×3.9in,569,320,854,480,16:9,1.5hdpi,phone_android
Asus Zen Watch,1.6in 1.2×1.2in,213,213,320,320,1:1,1.5hdpi,watch
Dell Venue 8,8.4in 4.5×7.1in,1280,800,2560,1600,16:10,2.0xhdpi,tablet_android
Google Pixel,5.0in 2.5×4.4in,731,411,1920,1080,16:9,2.6xxhdpi,phone_android
Google Pixel XL,5.5in 2.7×4.8in,731,411,2560,1440,16:9,3.5xxxhdpi,phone_android
HTC One M8,5.0in 2.5×4.4in,640,360,1920,1080,16:9,3.0xxhdpi,phone_android
HTC One M9,5.0in 2.5×4.4in,640,360,1920,1080,16:9,3.0xxhdpi,phone_android
LG G Watch,1.7in 1.2×1.2in,187,187,280,280,1:1,1.5hdpi,watch
LG G Watch R,1.8in 1.3×1.3in,213,213,320,320,1:1,1.5hdpi,watch
LG G2,5.2in 2.5×4.5in,640,360,1920,1080,16:9,3.0xxhdpi,phone_android
LG G3,5.5in 2.7×4.8in,853,480,2560,1440,16:9,3.0xxhdpi,phone_android
Moto 360,1.6in 1.6×1.4in,218,241,290,320,32:29,1.3tvdpi,watch
Moto 360 v2 42mm,1.4in 1.2×1.2in,244,241,325,320,65:64,1.3tvdpi,watch
Moto 360 v2 46mm,1.6in 1.4×1.4in,248,241,330,320,33:32,1.3tvdpi,watch
Moto G,4.5in 2.2×3.9in,640,360,1280,720,16:9,2.0xhdpi,phone_android
Moto X,4.7in 2.3×4.1in,640,360,1280,720,16:9,2.0xhdpi,phone_android
Moto X (2nd Gen),5.2in 2.5×4.5in,640,360,1920,1080,16:9,3.0xxhdpi,phone_android
Nexus 10,10.1in 8.6×5.4in,800,1280,1600,2560,16:10,2.0xhdpi,tablet_android
Nexus 4,4.7in 3.2×4.0in,640,384,1280,768,5:3,2.0xhdpi,phone_android
Nexus 5,5.0in 2.4×4.3in,640,360,1920,1080,16:9,3.0xxhdpi,phone_android
Nexus 5X,5.2in 2.5×4.5in,731,411,1920,1080,16:9,2.6xxhdpi,phone_android
Nexus 6,6.0in 2.9×5.2in,731,411,2560,1440,16:9,3.5xxxhdpi,phone_android
Nexus 6P,5.7in 2.8×5.0in,731,411,2560,1440,16:9,3.5xxxhdpi,phone_android
Nexus 7 ('12),7.0in 3.7×5.9in,960,600,1280,800,16:10,1.3tvdpi,tablet_android
Nexus 7 ('13),7.0in 3.7×6.0in,960,600,1920,1200,16:10,2.0xhdpi,tablet_android
Nexus 9,8.9in 7.1×5.3in,768,1024,1536,2048,4:3,2.0xhdpi,tablet_android
Samsung Galaxy Note 4,5.7in 2.8×5.0in,853,480,2560,1440,16:9,3.0xxhdpi,phone_android
